Medical Text,Medicine\ Chemical Name,Organ,Disease,Hormone,Pharmacological Class,Common Medical Terms
"ফেক্সোফেনাডিন চুলকানি, হাঁচি এবং জ্বালা সহ অ্যালার্জির লক্ষণগুলির চিকিত্সা করে। এই লক্ষণগুলির মধ্যে রয়েছে চোখ জল, সর্দি, এবং চুলকানি চোখ এবং নাক। যখন আপনি অ্যালার্জির প্রতিক্রিয়া অনুভব করেন তখন এটি আপনার শরীরকে প্রাকৃতিক হিস্টামিন তৈরি করতে বাধা দেয়।",ফেক্সোফেনাডিন,"চোখ, নাক","চুলকানি, হাঁচি, জ্বালা, চুলকানি, অ্যালার্জি ",,,
টাফনিল হচ্ছে মূলত মাইগ্রেশন এর মত ব্যথা কে উপশম করতে ব্যবহার করা হয়। এছাড়াও মাইগ্রেনের ব্যথা সহ বিভিন্ন ধরনের মাথাব্যথা এবং পরবর্তীতে জ্বরের ব্যথা আসুক ওষুধ হিসেবে টাফনিল ব্যবহার করা হয়। এমনকি অপারেশনের পর কাটা ছেঁড়ার ফলে যে ব্যথা অনুভূত হয় সে ব্যাথা নিরাময় করতে টাফনিল গ্রহণ করার পরামর্শ দেওয়া হয়।,"টাফনিল,টলফেনামিক",,"ব্যথা, জ্বর ",,,
অ্যামোক্সিসিলিন হল একটি পেনিসিলিন-ভিত্তিক অ্যান্টিবায়োটিক (অ্যামিনো-পেনিসিলিন) যা ব্যাকটেরিয়া সংক্রমণের বিরুদ্ধে লড়াই করতে সাহায্য করে। এটি প্রাথমিক যত্নের সেটিংয়ে সর্বাধিক ব্যবহৃত অ্যান্টিবায়োটিকগুলির মধ্যে একটি এবং বিভিন্ন ধরণের গ্রাম-পজিটিভ ব্যাকটেরিয়া এবং কিছু গ্রাম-নেতিবাচক ব্যাকটেরিয়ার বিরুদ্ধেও কাজ করে।,অ্যামোক্সিসিলিন,,ব্যাকটেরিয়া সংক্রমণ,,অ্যামিনো-পেনিসিলিন,অ্যান্টিবায়োটিক
"অ্যাট্রোপিন হল একটি ট্রপেন আ্যালকালয়েড যা সাধারণত কমাতে ব্যবহৃত হয় ব্যথা এবং প্রদাহ. এটি শরীরের তাপমাত্রা কমাতেও কার্যকর। এটি প্রদাহ, জ্বর এবং ব্যথা সৃষ্টিকারী এনজাইমগুলিকে বাধা দিয়ে কাজ করে। ",অ্যাট্রোপিন,,"প্রদাহ, জ্বর, ব্যথা",,ট্রপেন আ্যালকালয়েড,
"অ্যাজিথ্রোমাইসিন ওষুধটি ম্যাক্রোলাইড অ্যান্টিবায়োটিক নামক ওষুধের একটি গ্রুপের অন্তর্গত, যা সংক্রমণের কারণ ব্যাকটেরিয়াকে মেরে কাজ করে। অ্যাজিথ্রোমাইসিনের উদ্দেশ্য হল ব্যাকটেরিয়া দ্বারা সৃষ্ট সংক্রমণের চিকিৎসা করা, যার মধ্যে রয়েছে কিন্তু সীমাবদ্ধ নয়, শ্বাসযন্ত্রের সংক্রমণ, ত্বক ও নরম টিস্যু সংক্রমণ, যৌনবাহিত রোগ এবং এমনকি কিছু নির্দিষ্ট ধরনের নিউমোনিয়া।",অ্যাজিথ্রোমাইসিন,"ত্বক, শ্বাসযন্ত্র",নিউমোনিয়া,,ম্যাক্রোলাইড অ্যান্টিবায়োটিক,"অ্যান্টিবায়োটিক, সংক্রমণ "
"অ্যালবেনডাজল, একটি শক্তিশালী অ্যান্টিপ্যারাসাইটিক ওষুধ, বিভিন্ন চিকিৎসায় এর কার্যকারিতার জন্য মনোযোগ আকর্ষণ করেছে কৃমি উপদ্রব। এই বহুমুখী ওষুধটি অন্ত্র এবং টিস্যু উভয় পরজীবীকে প্রভাবিত করতে পারে",অ্যালবেনডাজল,,কৃমি উপদ্রব,,অ্যান্টিপ্যারাসাইটিক,ওষুধ
"ক্লোরফেনিরামাইন হল একটি অ্যান্টিহিস্টামাইন ওষুধ যা মৌসুমি অ্যালার্জি, অ্যালার্জিক রাইনাইটিস, আমবাত এবং অ্যালার্জিক কনজেক্টিভাইটিস সহ বিভিন্ন অ্যালার্জির প্রতিক্রিয়ার চিকিৎসা করতে ব্যবহৃত হয়। এটি হিস্টামিনের প্রভাবকে বাধা দিয়ে কাজ করে, একটি রাসায়নিক যা শরীরে অ্যালার্জির প্রতিক্রিয়া তৈরি করে। ক্লোরফেনিরামাইন সাইনাস সংক্রমণ এবং হাঁচির মতো সাধারণ ঠান্ডা লক্ষণগুলির চিকিত্সার জন্য অতিরিক্ত কার্যকর।",ক্লোরফেনিরামাইন,"নাক, চোখ ","অ্যালার্জি, হাঁচি",,অ্যান্টিহিস্টামাইন,
"ডাইক্লোফেনাক একটি নন-স্টেরয়েডাল অ্যান্টি-ইনফ্ল্যামেটরি ড্রাগ (NSAID)। এটি মূল কারণ বা শরীরে ব্যথা সৃষ্টিকারী কারণগুলিকে নির্মূল করে ব্যথা উপশম এবং প্রদাহ কমাতে বোঝানো হয়। এটি মৌখিকভাবে, শিরায় (শিরার ভিতরে), মলদ্বারে (মলদ্বারের মাধ্যমে), বা ত্বকের নীচে (ত্বকের মাধ্যমে) ইনজেকশন দেওয়া যেতে পারে। এটি প্রোস্টাগ্ল্যান্ডিন এনজাইমকে বাধা দিয়ে কাজ করে, যা ব্যথা এবং প্রদাহের কারণ।",ডাইক্লোফেনাক,ত্বক,"প্রদাহ, ব্যথা ",,অ্যান্টি-ইনফ্ল্যামেটরি,ব্যথানাশক
"ডাইক্লোফেনাক বিভিন্ন অ্যালার্জির প্রতিক্রিয়ার লক্ষণ দেখাতে পারে, যেমন শ্বাস নিতে অসুবিধা, মুখ এবং গলার প্রদাহ, বা ত্বকের তীব্র প্রতিক্রিয়া (ত্বকের ব্যথা, ফোসকা, খোসা ছাড়ানো এবং ত্বকে ফুসকুড়ি)।",ডাইক্লোফেনাক,"মুখ, গলা, ত্বক","ত্বকের ব্যথা, ফোসকা",,,ব্যথানাশক
ডাইক্লোফেনাক সমস্ত ওষুধগুলি কক্ষ তাপমাত্রায় সংরক্ষণ করা উচিত এবং সরাসরি তাপ এবং আলো থেকে দূরে রাখা উচিত যাতে তাদের নষ্ট হওয়া থেকে রক্ষা করা যায়। রেফ্রিজারেটরে ওষুধ সংরক্ষণ করবেন না।,ডাইক্লোফেনাক,,,,,ঔষধ
